server,hour,weekday,cpu,stopped
Server-1,0,0,19.850925859709854,0
Server-2,0,0,9.738138096257927,1
Server-3,0,0,23.68014774553613,1
Server-4,0,0,15.302201679694367,0
Server-1,1,0,6.014019626571697,0
Server-2,1,0,15.030301401165628,1
Server-3,1,0,12.344315442691741,0
Server-4,1,0,22.346726385411262,0
Server-1,2,0,4.100964615022983,1
Server-2,2,0,2.2410168350909014,1
Server-3,2,0,4.595417423669753,1
Server-4,2,0,1.2482201136135358,1
Server-1,3,0,2.1748753757807022,1
Server-2,3,0,1.089568707345896,1
Server-3,3,0,3.1307419860035886,1
Server-4,3,0,1.8382656554851393,1
Server-1,4,0,3.945621065226204,1
Server-2,4,0,3.5463110364040995,1
Server-3,4,0,4.271407466307563,1
Server-4,4,0,2.1822744787899064,1
Server-1,5,0,29.45393033206955,0
Server-2,5,0,27.181491622026034,0
Server-3,5,0,16.150458518480406,1
Server-4,5,0,7.8301374897849785,0
Server-1,6,0,10.673674311882651,0
Server-2,6,0,5.496513844973875,1
Server-3,6,0,11.323642088655617,1
Server-4,6,0,28.755236286510044,1
Server-1,7,0,17.388656017565076,0
Server-2,7,0,5.9093716202420605,0
Server-3,7,0,15.23718898641534,1
Server-4,7,0,9.63445632068823,0
Server-1,8,0,22.64235312458928,0
Server-2,8,0,19.252168547588226,1
Server-3,8,0,15.112186450023952,1
Server-4,8,0,13.870327557297228,1
Server-1,9,0,71.68467789760385,0
Server-2,9,0,58.62601136159742,0
Server-3,9,0,65.57550250883936,0
Server-4,9,0,89.1685414964007,0
Server-1,10,0,77.38670154399183,0
Server-2,10,0,88.77328272664244,0
Server-3,10,0,66.54958472944625,0
Server-4,10,0,65.72544491849153,0
Server-1,11,0,46.89492263945042,0
Server-2,11,0,57.174430262803256,0
Server-3,11,0,68.9600350801718,0
Server-4,11,0,52.73734534807989,0
Server-1,12,0,81.24033729122112,0
Server-2,12,0,44.10879503522689,0
Server-3,12,0,80.245336476945,0
Server-4,12,0,76.08108724944012,0
Server-1,13,0,41.01239353904101,0
Server-2,13,0,63.91750455309906,0
Server-3,13,0,67.87346102774164,0
Server-4,13,0,54.243893524854236,0
Server-1,14,0,49.77021608977158,0
Server-2,14,0,63.108483321983655,0
Server-3,14,0,40.656862712351334,0
Server-4,14,0,62.23243360843401,0
Server-1,15,0,51.58469799925453,0
Server-2,15,0,64.21195520589987,0
Server-3,15,0,50.54554225804176,0
Server-4,15,0,63.47933200134477,0
Server-1,16,0,71.5176898570023,0
Server-2,16,0,62.84782114074784,0
Server-3,16,0,88.10845587084651,0
Server-4,16,0,65.62879123609088,0
Server-1,17,0,45.55799139615621,0
Server-2,17,0,70.3375022820254,0
Server-3,17,0,85.32364618471706,0
Server-4,17,0,79.95179827008826,0
Server-1,18,0,57.7827071460242,0
Server-2,18,0,56.77449175491566,0
Server-3,18,0,56.32082128641397,0
